latitude,longitude,precip
30.969912,-81.35661,0.0
30.969704,-81.33481,0.0
30.969467,-81.313,0.0
30.969376,-81.29123,0.0
30.969069,-81.2694,0.0
30.968843,-81.247604,0.0
30.968618,-81.2258,0.0
30.968317,-81.20399,0.0
30.968166,-81.182205,0.0
30.967968,-81.160416,0.0
30.96766,-81.138596,0.0
30.967543,-81.11683,0.0
30.967266,-81.09503,0.0
30.967184,-81.07327,0.0
30.966757,-81.05143,0.0
30.96662,-81.02966,0.0
30.966394,-81.00787,0.0
30.966234,-80.9861,0.0
30.966002,-80.96432,0.0
30.965643,-80.942505,0.0
30.965487,-80.92074,0.0
30.965223,-80.89895,0.0
30.965063,-80.87719,0.0
30.964773,-80.85539,0.0
30.96471,-80.83365,0.0
30.964346,-80.81184,0.0
30.964151,-80.79007,0.0
30.964056,-80.768326,0.0
30.963789,-80.746544,0.0
30.963707,-80.72481,0.0
30.963491,-80.70304,0.0
30.963366,-80.6813,0.0
30.963081,-80.659515,0.0
30.962965,-80.63777,0.0
30.962675,-80.61599,0.0
30.962553,-80.594246,0.0
30.962317,-80.57249,0.0
30.962166,-80.550735,0.0
30.961863,-80.52896,0.0
30.96174,-80.50723,0.0
30.961494,-80.48546,0.0
30.961327,-80.46372,0.0
30.960985,-80.44194,0.0
30.960852,-80.420204,0.0
30.960632,-80.39846,0.0
30.960407,-80.37669,0.0
30.960243,-80.354965,0.0
30.96006,-80.33322,0.0
30.95991,-80.31149,0.0
30.959732,-80.28976,0.0
30.95953,-80.26801,0.0
30.959349,-80.24628,0.0
30.959076,-80.224525,0.0
30.958864,-80.20279,0.0
30.958714,-80.18106,0.0
30.958496,-80.15932,0.0
30.958298,-80.13758,0.0
30.958092,-80.11585,0.0
30.958052,-80.094154,0.0
30.95784,-80.07242,0.0
30.957727,-80.050705,0.0
30.957487,-80.02897,0.0
30.957453,-80.00728,0.0
30.99988,-85.24358,0.0
30.999449,-85.22139,0.0
30.99906,-85.19922,2.1059077
30.998726,-85.17708,2.434002
30.998268,-85.15488,3.268735
30.997906,-85.13272,3.80742
30.99752,-85.11056,3.268735
30.997154,-85.08841,0.0
30.996675,-85.06621,3.80742
30.99632,-85.044075,0.0
30.996151,-85.022,2.826189
30.995768,-84.999855,2.434002
30.995275,-84.97766,0.0
30.994843,-84.9555,2.1059077
30.99447,-84.933365,0.0
30.994131,-84.91123,2.1059077
30.993958,-84.889175,2.1059077
30.993658,-84.867065,0.0
30.993313,-84.844955,0.0
30.99292,-84.822815,0.0
30.992455,-84.80066,0.0
30.992142,-84.77856,0.0
30.991758,-84.756424,0.0
30.991392,-84.734314,0.0
30.99117,-84.71226,0.0
30.99071,-84.6901,0.0
30.99035,-84.668,0.0
30.990112,-84.645935,0.0
30.989542,-84.62375,2.434002
30.989283,-84.601685,0.0
30.989027,-84.579636,0.0
30.988552,-84.55749,0.0
30.988276,-84.53543,0.0
30.988016,-84.513374,0.0
30.987589,-84.49126,0.0
30.987322,-84.4692,0.0
30.986841,-84.44707,0.0
30.986677,-84.42506,0.0
30.98625,-84.40295,0.0
30.985826,-84.380844,0.0
30.985523,-84.35878,0.0
30.985209,-84.33672,0.0
30.984898,-84.31467,0.0
30.984518,-84.29259,0.0
30.984068,-84.270485,0.0
30.983913,-84.24849,0.0
30.983498,-84.2264,3.80742
30.983187,-84.20435,0.0
30.982834,-84.182304,0.0
